번호,한정,패스 갯수,가격,캐릭터 목록
'7-16,18,10,25,【수기사 수미카 리오 드히나 임시노 쿠로코 수나코 미카 수시노 와카모 수이아 수스미 수요리 수우이 나기사 수즈사 수즈나 바네루】 / 뉴요코 슌 체리노 나츠 네루 노아 라로코 루미 마키 메구 메리스 모에 미도리 미모리 미사키 미유 바스나 사복사야 사키 수노미 수모에 수부키 수이미 스미레 시로코 아루 아리스 아츠코 에이미 온구레 온도카 온리노 유즈 응토리 이로하 이오리 이즈나 이즈미 츠루기 카린 카스미 캠마키 코유키 코하루 키쿄 하루나 호시노 히나 히비키 히요리
'7-9,19,9,21,【수기사 리오 드히나 임시노 쿠로코 수나코 미카 수시노 와카모 히카리 세이아 교스나 수요리 싸오리 드아코 수히나 수오리 바카린 수즈나】 / 수로코 아코 히마리 뉴요코 우이 슌 체리노 네루 뉴리카 레이사 레이죠 루미 마리나 마시로 미네 미노리 미도리 바카네 사복사야 사야 사쿠라코 사키 수노미 수사키 수야코 수이미 수카리 수키쿄 수후미 스미레 시로코 아루 아리스 아즈사 어린슌 에이미 온도카 온리노 우미카 운루나 유즈 응타하 응토리 이로하 이오리 이즈미 츠쿠요 카린 카호 크나에 파우카 하루나 히비키 히요리 히후미
'16-11,17,9,19,【수기사 리오 드히나 임시노 쿠로코 수시노 와카모 수이아 수스미 수나코 미카 세이아 교스나 드아코 뉴츠키 수즈사 바카린】 / 코코나 아코 우이 체리노 히나타 가바키 나구사 네루 뉴루카 뉴리카 뉴카리 니야 레이사 레이죠 마키 메리스 모에 미모리 미야코 바스나 수모리 수이미 수카모 수후미 시로코 아주리 아즈사 아츠코 에이미 유즈 응타하 이오리 이즈나 이치카 츠루기 츠쿠요 치모에 치히로 카린 카에데 칸나 캠타마 크리나 하루나 호시노 히나 히비키 히후미
'26-28,17,9,19,【수기사 리오 교네루 드히나 임시노 쿠로코 수나코 수시노 와카모 수이아 수요리 드아코 수우이 수나타 수즈나 수치세】 / 캠하레 드아루 코코나 아코 슌 히나타 나츠 네루 렌게 루미 마리나 마시로 메루 메모이 모에 미야코 미유 바스나 바카네 사야 사오리 사키 수리카 수모리 수부키 수사키 수카모 스미레 시구레 아루 어린슌 에이미 온리노 운루나 응타하 이로하 이오리 이즈나 츠루기 카에데 카즈사 카호 키쿄 하루나 호시노 히비키 히요리 히후미
'18-3,17,9,20,【수기사 교네루 드히나 임시노 쿠로코 수나코 미카 수시노 와카모 수이아 수스미 수요리 싸오리 드아코 수즈사 수즈나】 / 키사키 코코나 아코 히마리 뉴요코 우이 슌 체리노 히나타 가바키 나츠 네루 라로코 레이 렌게 마시로 마키 메구 메리스 메모이 미도리 미모리 미야코 미유 바스나 사복사야 사오리 사츠키 수사키 수카모 수키쿄 스미레 아루 아리스 아즈사 아츠코 온나츠 온도카 온리노 운루나 유카리 응타하 이로하 이오리 이즈나 이즈미 츠루기 치히로 카린 히나 히후미
'11-4,17,9,19,【수기사 수미카 리오 드히나 임시노 수나코 와카모 수이아 미카 수시노 세이아 수요리 드아코 운유카 수즈나 수치세 뉴츠키】 / 드아루 코코나 뉴요코 체리노 히나타 가츠키 나츠 네루 노아 뉴카리 렌게 루미 마시로 마키 메구 메루 메모이 모에 미나 미모리 미야코 바토키 사야 사오리 세나 수노미 수부키 수사키 수야코 수이미 수카모 스미레 시로코 아즈사 에이미 온도카 온리노 유즈 이로하 이오리 이즈나 이즈미 츠루기 츠쿠요 치모에 카린 카즈사 칸나 캠타마 코유키 코하루 키쿄 파노아 파우카 호시노 히비키 히후미
'15-15,16,9,18,【수기사 수미카 드히나 임시노 쿠로코 수나코 미카 수시노 와카모 수이아 세이아 교스나 드아코 수우이 수나타 수즈나】 / 수로코 코코나 히마리 뉴요코 우이 슌 체리노 히나타 나츠 네루 뉴카리 라로코 마시로 마키 메리스 모에 미나 미노리 미도리 미모리 미야코 미유 바스나 사야 사키 세나 수노미 수모에 수카모 수키쿄 수후미 시구레 시로코 아루 아즈사 아츠코 온나츠 온리노 운루나 유즈 응타하 응토리 이로하 이오리 이즈나 이즈미 츠쿠요 치히로 카린 카즈사 코유키 코하루 크나에 하루나 호시노 히나 히비키 히후미
'24-16,15,9,17,【수기사 수미카 교네루 드히나 임시노 쿠로코 미카 수시노 와카모 수이아 히카리 드아코 마코토 수우이 수즈나】 / 키사키 아코 뉴요코 우이 가바키 네루 드요코 라로코 마시로 미네 미노리 미도리 미사키 미유 사복사야 사복세나 사키 세나 수노미 수모에 수야코 수카모 수후미 시로코 아루 에이미 온나츠 온도카 이로하 이오리 이즈나 츠루기 츠쿠요 치아키 카린 카스미 카즈사 카호 크나에 키쿄 하루나 호시노 히나 히요리 히후미
'24-20,14,9,17,【수기사 리오 교네루 드히나 쿠로코 수나코 미카 수시노 와카모 세이아 수요리 싸오리 수우이】 / 수로코 아코 우이 슌 체리노 가바키 나츠 네루 노아 뉴카리 레이사 루미 마키 메구 미모리 미사키 바스나 바토키 수노미 수부키 수이미 수후미 스미레 시로코 아즈사 아츠코 온도카 온리노 이로하 이즈나 이치카 츠루기 치히로 카즈사 카호 크리나 하루나 호시노 히비키(+ 히요리 히후미 )
'25-13,14,9,16,【수기사 수미카 리오 드히나 임시노 수나코 미카 와카모 쿠로코 드히나 드아코 나기사 수즈나 수즈사】 / 수로코 코코나 뉴요코 히나타 노아 뉴루카 뉴리카 라로코 렌게 마시로 마키 메모이 모에 미네 미도리 미유 바토키 사야 세나 수모리 스미레 시로코 아루 아즈사 에이미 온도카 온리노 운루나 응타하 응토리 이로하 이즈미 츠루기 카린 카스미 카에데 카호 캠타마 코유키 코하루 키라라 키쿄 하루나 호시노 히비키 히후미
